BSU	GeneID	Abundance
BSU04330	mutT	138
BSU04340	ydaP	15651
BSU04359	ydzK	1164
BSU04360	mntH	38744
BSU04370	ydaS	7191
BSU04380	ydaT	840
BSU04390	ydbA	269
BSU04400	gsiB	17995
BSU04410	ydbB	262
BSU04420	ydbC	270
BSU04430	ydbD	13752
BSU04440	dctB	500
BSU04450	dctS	728
BSU04460	dctR	419
BSU04470	dctP	1398
BSU04480	ydbI	2799
BSU04490	ydbJ	396
BSU04500	ydbK	168
BSU04510	ydbL	244
BSU04520	ydbM	1156
BSU04530	ydbN	380
BSU04540	ydbO	8542
BSU04550	ydbP	321
BSU04560	ddl	10181
BSU04570	murF	2464
BSU04580	cshA	34993
BSU04590	ydbS	352
BSU04600	ydbT	1691
BSU04610	ydcA	611
BSU04620	acpS	202
BSU04630	ydcC	325
BSU04640	alrA	1441
BSU04650	endB	2817
BSU04660	ndoA	2888
BSU04670	rsbRA	2257
BSU04680	rsbS	699
BSU04690	rsbT	1074
BSU04700	rsbU	1320
BSU04710	rsbV	14619
BSU04720	rsbW	16480
BSU04730	sigB	49959
BSU04740	rsbX	35021
BSU04750	ydcF	27
BSU04760	ydcG	410
BSU04770	ydcH	356
BSU04780	ydcI	2837
BSU04790	ydcK	1402
BSU04800	ydcL	661
BSU04810	immA	234
BSU04820	immR	265
BSU04830	sacV	1
BSU04839	ydzL	8
BSU04840	ydcO	21
BSU04850	ydcP	5
BSU04860	ydcQ	19
BSU04870	ydcR	21
BSU04880	ydcS	5
BSU04890	ydcT	1
BSU04900	yddA	4
BSU04910	yddB	6
BSU04920	yddC	1
BSU04930	yddD	6
BSU04940	yddE	12
BSU04950	yddF	3
BSU04960	yddG	26
BSU04970	yddH	6
BSU04980	yddI	2
BSU04990	yddJ	25
BSU05000	yddK	861
BSU05010	rapI	107
BSU05020	phrI	5
BSU05030	yddM	144
BSU05040	yddN	136
BSU05050	lrpA	27
BSU05060	lrpB	17
BSU05070	yddQ	65
BSU05080	yddR	29
BSU05090	yddS	61
BSU05099	ydzM	35
BSU05100	yddT	282
BSU05109	ydzN	52
BSU05110	ydeA	24
BSU05120	cspC	5976
BSU05130	ydeB	1408
BSU05140	ydzE	63
BSU05150	ydeC	244
BSU05160	ydeD	99
BSU05170	ydeE	259
BSU05180	ydeF	334
BSU05190	ydeG	37
BSU05200	ydeH	135
BSU05210	ydeI	145
BSU05220	ydeJ	440
BSU05230	ydeK	185
BSU05240	ydeL	164
BSU05250	ydeM	353
BSU05260	ydeN	493
BSU05270	ydzF	240
BSU05280	ydeO	909
BSU05290	ydeP	294
BSU05300	ydeQ	168
BSU05310	ydeR	148
BSU05320	ydeS	363
BSU05329	ydzO	35
BSU05330	aseR	16
BSU05340	ydfA	153
BSU05343	ydzS	2
BSU05344	ydzS	14
BSU05350	ydfB	25
BSU05360	ydfC	2
BSU05370	ydfD	53
BSU05380	ydfE	41
BSU05390	ydfF	277
BSU05400	ydfG	552
BSU05408	ydzP	1
BSU05409	ydzQ	5
BSU05410	ydfH	162
BSU05420	ydfI	59
BSU05430	ydfJ	31
BSU05440	nap	731
BSU05450	ydfK	257
BSU05460	ydfL	410
BSU05470	ydfM	42
BSU05480	ydfN	67
BSU05490	ydfO	211
BSU05500	ydfP	76
BSU05510	ydfQ	13
BSU05520	ydzH	5
BSU05529	ydzR	18
BSU05530	ydfR	10
BSU05540	ydfS	28
BSU05550	cotP	11
BSU05560	ydgA	4
BSU05570	ydgB	2
BSU05580	ydgC	408
BSU05590	ydgD	338
BSU05600	ydgE	481
BSU05610	vmlR	767
BSU05620	ydgF	4836
BSU05630	dinB	1963
BSU05640	ydgG	122
BSU05650	ydgH	1238
BSU05660	ydgI	203
BSU05670	ydgJ	110
BSU05680	ydgK	299
BSU05690	ydhB	253
BSU05700	ydhC	782
BSU05710	ydhD	51
BSU05720	ydhE	560
BSU05730	ydhF	94
BSU05740	phoB	449
BSU05750	ydhG	102
BSU05760	ydhH	649
BSU05770	ydhI	113
BSU05780	ydhJ	498
BSU05790	ydhK	793
BSU05800	pbuE	133
BSU05810	gmuB	31
BSU05820	gmuA	40
BSU05830	gmuC	233
BSU05840	gmuD	374
BSU05850	gmuR	286
BSU05860	gmuE	428
BSU05870	gmuF	313
BSU05880	gmuG	609
BSU05890	ydhU	32
BSU05899	ydhU	0
BSU05900	thiL	455
BSU05910	ydiB	177
BSU05920	ydiC	214
BSU05930	rimI	98
BSU05940	gcp	0
BSU05950	ydiF	3365
BSU05960	moaC	2083
BSU05970	ydiH	2019
BSU05980	tatAY	1347
BSU05990	tatCY	6206
BSU06000	ydiK	153
BSU06010	ydiL	1305
BSU06020	groES	1390
BSU06030	groEL	30500
BSU06033	ydzT	4
BSU06034	ydzT	6
BSU06036	ydzT	1
BSU06037	ydzT	5
BSU06038	ydzT	9
BSU06040	ydiM	47
BSU06048	ydzU	9
BSU06049	ydzV	72
BSU06060	ydiO	965
BSU06070	ydiP	1866
BSU06073	ydzW	229
BSU06074	ydzW	26
BSU06076	ydzW	325
BSU06077	ydzW	107
BSU06078	ydzW	82
BSU06079	ydzW	1
BSU06083	ydzW	66
BSU06090	ydiR	347
BSU06100	ydiS	415
BSU06110	ydjA	442
BSU06120	ydjB	23
BSU06130	ydjC	25
BSU06140	gutR	2120
BSU06150	gutB	212
BSU06160	gutP	140
BSU06170	ydjE	3268
BSU06180	pspA	46
BSU06190	ydjG	72
BSU06200	ydjH	35
BSU06210	ydjI	448
BSU06220	ydjJ	1762
BSU06230	iolT	1001
BSU06240	bdhA	15753
BSU06250	ydjM	202
BSU06260	ydjN	76
BSU06269	ydzJ	27
BSU06270	ydjO	3619
BSU06280	ydjP	993
BSU06290	yeaA	426
BSU06300	cotA	418
BSU06310	gabP	6586
BSU06319	ydzX	2
BSU06320	yeaB	341
BSU06330	yeaC	1310
BSU06340	yeaD	1190
BSU06350	yebA	1821
BSU06360	guaA	4945
BSU06370	pbuG	356
BSU06380	yebC	11200
BSU06390	yebD	53
BSU06400	yebE	505
BSU06410	yebG	155
BSU06420	purE	293
BSU06430	purK	1083
BSU06440	purB	1603
BSU06450	purC	467
BSU06460	purS	92
BSU06470	purQ	703
BSU06480	purL	9863
BSU06490	purF	13006
BSU06500	purM	3503
BSU06510	purN	1377
BSU06520	purH	4600
BSU06530	purD	4988
BSU06540	yezC	472
BSU06550	yecA	20
BSU06559	yezF	7
BSU06560	yerA	9317
BSU06570	yerB	16436
BSU06580	yerC	4245
BSU06590	yerD	3465
BSU06600	pcrB	193
BSU06610	pcrA	1430
BSU06620	ligA	5590
BSU06630	yerH	5025
BSU06640	yerI	3413
BSU06650	sapB	448
BSU06660	opuE	10978
BSU06670	gatC	643
BSU06680	gatA	6522
BSU06690	gatB	9935
BSU06700	yerO	1923
BSU06710	swrC	61688
BSU06720	yerQ	5845
BSU06730	yefA	1931
BSU06740	yefB	64
BSU06750	yefC	104
BSU06760	yeeA	478
BSU06770	yeeB	855
BSU06780	yeeC	1081
BSU06790	yeeD	128
BSU06800	yezA	51
BSU06811	yezG	131
BSU06812	yeeF	820
BSU06820	yeeG	36
BSU06830	rapH	1692
BSU06839	phrH	90
BSU06840	yeeI	3001
BSU06850	yeeK	159
BSU06860	yezE	692
BSU06870	yesE	12
BSU06880	yesF	325
BSU06890	cotJA	1
BSU06900	cotJB	2
BSU06910	cotJC	6
BSU06920	yesJ	1444
BSU06930	yesK	71
BSU06940	yesL	426
BSU06950	yesM	907
BSU06960	yesN	169
BSU06970	yesO	216
BSU06980	yesP	132
BSU06990	yesQ	140
BSU07000	yesR	125
BSU07010	yesS	479
BSU07020	rhgT	234
BSU07030	yesU	204
BSU07040	yesV	278
BSU07050	yesW	633
BSU07060	yesX	674
BSU07070	yesY	199
BSU07080	yesZ	1036
BSU07090	yetA	140
BSU07100	lplA	112
BSU07110	lplB	44
BSU07120	lplC	73
BSU07130	lplD	111
BSU07140	yetF	55
BSU07150	yetG	5807
BSU07160	yetH	234
BSU07170	yetI	988
BSU07180	yetI	688
BSU07190	yezD	21
BSU07200	yetJ	729
BSU07210	yetK	398
BSU07220	yetL	215
BSU07230	yetM	189
BSU07240	yetN	170
BSU07250	yetO	734
BSU07260	ltaSA	15722
BSU07270	yfnH	4
BSU07280	yfnG	11
BSU07290	yfnF	21
BSU07300	yfnE	76
BSU07310	yfnD	123
BSU07320	yfnC	1114
BSU07330	yfnB	785
BSU07340	yfnA	396
BSU07350	yfmT	753
BSU07360	yfmS	793
BSU07370	yfmR	12920
BSU07380	yfmQ	1846
BSU07390	yfmP	211
BSU07400	yfmO	92
BSU07410	yfmN	0
BSU07420	yfmM	2118
BSU07430	yfmL	648
BSU07440	yfmK	353
BSU07450	yfmJ	6408
BSU07460	yfmI	139
BSU07480	yfmG	87
BSU07490	yfmF	5087
BSU07500	yfmE	1955
BSU07510	yfmD	796
BSU07520	yfmC	6431
BSU07530	yfmB	1108
BSU07540	yfmA	0
BSU07550	yflT	12302
BSU07560	pel	1189
BSU07570	yflS	923
BSU07580	citS	1644
BSU07590	citT	923
BSU07600	yflP	2084
BSU07610	citM	587
BSU07620	yflN	984
BSU07630	nosA	434
BSU07640	yflL	401
BSU07650	yflK	644
BSU07660	yflJ	235
BSU07670	yflI	140
BSU07680	yflH	2118
BSU07690	yflG	4949
BSU07700	nagP	6011
BSU07710	yflE	3893
BSU07720	yflD	78
BSU07735	yflB	622
BSU07750	yflA	3663
BSU07760	yfkT	31
BSU07770	yfkS	2
BSU07780	yfkR	20
BSU07790	yfkQ	7
BSU07800	treP	415
BSU07810	treA	334
BSU07820	treR	837
BSU07830	yfkO	407
BSU07840	yfkN	4895
BSU07850	yfkM	9074
BSU07860	yfkL	706
BSU07870	yfkK	1066
BSU07880	yfkJ	6066
BSU07890	yfkI	1721
BSU07900	yfkH	5737
BSU07910	yfkF	967
BSU07920	yfkE	4384
BSU07930	yfkD	3683
BSU07940	yfkC	947
BSU07955	yfkA	501
BSU07970	yfjT	80
BSU07980	pdaA	91
BSU07990	yfjR	893
BSU08000	yfjQ	739
BSU08010	yfjP	1508
BSU08020	yfjO	3772
BSU08029	yfzA	56
BSU08030	dusC	421
BSU08040	yfjM	98
BSU08050	yfjL	81
BSU08060	acoA	2436
BSU08070	acoB	3281
BSU08080	acoC	5525
BSU08090	acoL	9812
BSU08100	acoR	16211
BSU08110	sspH	2797
BSU08120	yfjF	230
BSU08130	yfjE	182
BSU08140	yfjD	124
BSU08150	yfjC	252
BSU08160	yfjB	374
BSU08170	yfjA	77
BSU08180	malA	6844
BSU08190	malR	1760
BSU08200	malP	3936
BSU08210	malQ	1910
BSU08220	yfiC	2239
BSU08230	catD	14
BSU08240	catE	44
BSU08250	yfiF	59
BSU08260	yfiG	434
BSU08270	yfiH	395
BSU08280	yfiI	882
BSU08290	yfiJ	291
BSU08300	yfiK	202
BSU08310	yfiL	12
BSU08320	yfiM	14
BSU08330	yfiN	62
BSU08340	padR	1339
BSU08350	estB	60
BSU08360	yfiQ	94
BSU08370	yfiR	655
BSU08380	yfiS	94
BSU08390	yfiT	1372
BSU08400	yfiU	359
BSU08410	yfiV	179
BSU08425	mprF	2848
BSU08440	yfiY	8766
BSU08450	yfiZ	1137
BSU08460	yfhA	1024
BSU08470	yfhB	2881
BSU08480	yfhC	7571
BSU08490	yfhD	430
BSU08500	yfhE	72
BSU08510	yfhF	2778
BSU08520	recX	1796
BSU08530	yfhH	717
BSU08540	yfhI	203
BSU08550	sspK	3
BSU08560	yfhJ	1167
BSU08570	yfhK	4549
BSU08580	yfhL	1515
BSU08590	yfhM	5745
BSU08600	csbB	8223
BSU08610	yfhO	1911
BSU08620	yfhP	3243
BSU08630	yfhQ	846
BSU08640	yfhS	1
BSU08650	fabL	869
BSU08660	sspE	284
BSU08670	ygaB	108
BSU08680	ygaC	3282
BSU08690	ygaD	1835
BSU08700	ygaE	1838
BSU08710	gsaB	3045
BSU08720	ygaF	1832
BSU08730	perR	11969
BSU08740	ygzB	896
BSU08750	ygxA	682
BSU08760	spo0M	3975
BSU08770	ygzA	13
BSU08779	ygzC	49
BSU08780	ygaJ	564
BSU08790	thiC	1245
BSU08800	ygaK	36
BSU08810	senS	0
BSU08820	katA	7000
BSU08830	ssuB	1
BSU08840	ssuA	4
BSU08850	ssuC	15
BSU08860	ssuD	58
BSU08870	ygaN	176
BSU08880	rpsN	226
BSU08890	ygaO	499
BSU08899	ygzD	140
BSU08900	yhzB	305
BSU08910	yhbA	484
BSU08920	yhbB	79
BSU08930	cspR	955
BSU08940	yhbD	64
BSU08950	yhbE	170
BSU08960	yhbF	339
BSU08970	prkA	60
BSU08980	yhbH	160
BSU08990	yhbI	60
BSU09000	yhbJ	148
BSU09010	yhcA	421
BSU09020	yhcB	127
BSU09030	yhcC	126
BSU09040	yhcD	0
BSU09050	yhcE	74
BSU09060	yhcF	52
BSU09070	yhcG	107
BSU09080	yhcH	151
BSU09090	yhcI	193
BSU09100	cspB	15838
BSU09110	yhcJ	783
BSU09120	dgcK	348
BSU09130	tcyP	277
BSU09140	yhcM	2033
BSU09150	yhcN	34
BSU09165	yhcO	1
BSU09180	yhcQ	79
BSU09190	yhcR	2748
BSU09200	yhcS	547
BSU09210	yhcT	622
BSU09220	yhcU	34
BSU09230	yhcV	72
BSU09240	yhcW	449
BSU09250	yhcX	1917
BSU09259	yhzG	15
BSU09260	yhxA	4798
BSU09270	glpP	1886
BSU09280	glpF	14692
BSU09290	glpK	43971
BSU09300	glpD	4478
BSU09310	pgcA	12612
BSU09320	yhcY	1600
BSU09330	yhcZ	801
BSU09340	yhdA	920
BSU09350	yhdB	5
BSU09360	yhdC	26
BSU09370	lytF	893
BSU09380	nsrR	2236
BSU09390	ygxB	3761
BSU09400	spoVR	35
BSU09410	phoA	2274
BSU09420	lytE	7077
BSU09430	citR	219
BSU09440	citA	304
BSU09450	yhdF	5167
BSU09460	ctrA	14256
BSU09470	yhdH	1096
BSU09480	yhdI	839
BSU09490	yhdJ	168
BSU09500	yhdK	1211
BSU09510	yhdL	8266
BSU09520	sigM	1331
BSU09530	yhdN	19379
BSU09540	plsC	1693
BSU09550	yhdP	15866
BSU09560	cueR	7845
BSU09570	yhdR	689
BSU09590	yhdT	23413
BSU09600	crcBA	442
BSU09610	yhdV	850
BSU09620	yhdW	1386
BSU09630	yhdX	208
BSU09640	yhdY	3740
BSU09650	yhdZ	2236
BSU09660	yheN	2114
BSU09670	dat	20196
BSU09680	nhaC	42
BSU09690	nhaX	15850
BSU09700	yheJ	32
BSU09710	yheI	350
BSU09720	yheH	1333
BSU09730	yheG	300
BSU09740	yheF	0
BSU09750	sspB	5
BSU09760	yheE	198
BSU09770	yheD	818
BSU09780	yheC	159
BSU09790	yheB	510
BSU09800	yheA	735
BSU09810	yhaZ	439
BSU09830	yhaX	2149
BSU09840	hemZ	373
BSU09850	yhaU	3333
BSU09860	khtT	899
BSU09870	khtS	2133
BSU09880	yhaR	1151
BSU09889	yhzD	25
BSU09890	natA	103
BSU09900	natB	323
BSU09910	yhaO	499
BSU09920	yhaN	1422
BSU09930	yhaM	2732
BSU09940	yhaL	53
BSU09950	prsA	6689
BSU09958	yhzE	0
BSU09965	yhaJ	319
BSU09980	yhaI	909
BSU09990	hpr	8271
BSU10000	yhaH	1204
BSU10009	yhzF	22
BSU10010	trpP	16245
BSU10020	serC	3349
BSU10030	hinT	1065
BSU10040	ecsA	686
BSU10050	ecsB	1513
BSU10060	ecsC	1082
BSU10070	yhaA	23609
BSU10080	yhfA	41
BSU10090	yhgB	35
BSU10100	yhgC	1181
BSU10110	pbpF	1187
BSU10120	hemE	1691
BSU10130	hemH	2520
BSU10140	hemY	6370
BSU10150	yhgD	4937
BSU10160	yhgE	15570
BSU10170	fabHB	35
BSU10180	yhfC	92
BSU10200	yhfE	1123
BSU10210	yhfF	241
BSU10220	gltT	25927
BSU10230	yhfH	20
BSU10240	yhfI	377
BSU10250	yhfJ	680
BSU10260	yhfK	2695
BSU10270	yhfL	18536
BSU10280	yhfM	90
BSU10290	yhfN	506
BSU10300	aprE	4445
BSU10310	yhfO	189
BSU10320	yhfP	3310
BSU10330	yhfQ	13578
BSU10340	phoE	1931
BSU10350	yhfS	212
BSU10360	yhfT	459
BSU10370	bioY	56
BSU10380	hemAT	735
BSU10390	yhfW	49
BSU10400	yhxC	101
BSU10410	yhzC	8254
BSU10420	comK	165
BSU10430	yhxD	2800
