BSU	GeneID	Abundance
BSU08930	cspR	154
BSU08940	yhbD	65
BSU08950	yhbE	269
BSU08960	yhbF	456
BSU08970	prkA	36
BSU08980	yhbH	81
BSU08990	yhbI	19
BSU09000	yhbJ	66
BSU09010	yhcA	258
BSU09020	yhcB	192
BSU09030	yhcC	80
BSU09040	yhcD	0
BSU09050	yhcE	10
BSU09060	yhcF	10
BSU09070	yhcG	19
BSU09080	yhcH	29
BSU09090	yhcI	131
BSU09100	cspB	1321
BSU09110	yhcJ	108
BSU09120	dgcK	56
BSU09130	tcyP	157
BSU09140	yhcM	156
BSU09150	yhcN	60
BSU09165	yhcO	0
BSU09180	yhcQ	42
BSU09190	yhcR	1180
BSU09200	yhcS	291
BSU09210	yhcT	416
BSU09220	yhcU	2
BSU09230	yhcV	32
BSU09240	yhcW	48
BSU09250	yhcX	645
BSU09259	yhzG	4
BSU09260	yhxA	1684
BSU09270	glpP	722
BSU09280	glpF	44
BSU09290	glpK	1059
BSU09300	glpD	809
BSU09310	pgcA	3331
BSU09320	yhcY	1231
BSU09330	yhcZ	813
BSU09340	yhdA	890
BSU09350	yhdB	4
BSU09360	yhdC	19
BSU09370	lytF	214
BSU09380	nsrR	365
BSU09390	ygxB	251
BSU09400	spoVR	12
BSU09410	phoA	79
BSU09420	lytE	581
BSU09430	citR	40
BSU09440	citA	155
BSU09450	yhdF	1109
BSU09460	ctrA	4776
BSU09470	yhdH	267
BSU09480	yhdI	287
BSU09490	yhdJ	74
BSU09500	yhdK	261
BSU09510	yhdL	1047
BSU09520	sigM	32
BSU09530	yhdN	3004
BSU09540	plsC	1268
BSU09550	yhdP	4848
BSU09560	cueR	1963
BSU09570	yhdR	121
BSU09590	yhdT	8410
BSU09600	crcBA	36
BSU09610	yhdV	146
BSU09620	yhdW	189
BSU09630	yhdX	267
BSU09640	yhdY	118
BSU09650	yhdZ	895
BSU09660	yheN	756
BSU09670	dat	4597
BSU09680	nhaC	195
BSU09690	nhaX	4915
BSU09700	yheJ	448
BSU09710	yheI	1717
BSU09720	yheH	4831
BSU09730	yheG	21
BSU09740	yheF	0
BSU09750	sspB	54
BSU09760	yheE	57
BSU09770	yheD	49
BSU09780	yheC	11
BSU09790	yheB	127
BSU09800	yheA	228
BSU09810	yhaZ	141
BSU09830	yhaX	69
BSU09840	hemZ	282
BSU09850	yhaU	702
BSU09860	khtT	234
BSU09870	khtS	215
BSU09880	yhaR	13
BSU09889	yhzD	2
BSU09890	natA	4
BSU09900	natB	247
BSU09910	yhaO	67
BSU09920	yhaN	640
BSU09930	yhaM	565
BSU09940	yhaL	14
BSU09950	prsA	777
BSU09958	yhzE	1
BSU09965	yhaJ	6
BSU09980	yhaI	57
BSU09990	hpr	2014
BSU10000	yhaH	243
BSU10009	yhzF	2
BSU10010	trpP	1271
BSU10020	serC	1269
BSU10030	hinT	150
BSU10040	ecsA	51
BSU10050	ecsB	741
BSU10060	ecsC	967
BSU10070	yhaA	6067
BSU10080	yhfA	7
BSU10090	yhgB	4
BSU10100	yhgC	149
BSU10110	pbpF	341
BSU10120	hemE	1070
BSU10130	hemH	1634
BSU10140	hemY	2292
BSU10150	yhgD	37
BSU10160	yhgE	388
BSU10170	fabHB	164
BSU10180	yhfC	20
BSU10200	yhfE	249
BSU10210	yhfF	93
BSU10220	gltT	2122
BSU10230	yhfH	32
BSU10240	yhfI	14
BSU10250	yhfJ	84
BSU10260	yhfK	739
BSU10270	yhfL	250
BSU10280	yhfM	6
BSU10290	yhfN	211
BSU10300	aprE	248
BSU10310	yhfO	1
BSU10320	yhfP	888
BSU10330	yhfQ	759
BSU10340	phoE	634
BSU10350	yhfS	893
BSU10360	yhfT	715
BSU10370	bioY	124
BSU10380	hemAT	232
BSU10390	yhfW	21
BSU10400	yhxC	5
BSU10410	yhzC	930
BSU10420	comK	762
BSU10430	yhxD	367
BSU10440	yhjA	744
BSU10450	yhjB	1739
BSU10460	yhjC	109
BSU10470	yhjD	2
BSU10480	yhjE	259
BSU10490	sipV	251
BSU10500	yhjG	31
BSU10510	yhjH	31
BSU10520	glcP	17
BSU10530	ntdC	91
BSU10540	ntdB	13
BSU10550	ntdA	4
BSU10560	yhjM	180
BSU10570	yhjN	1281
BSU10580	yhjO	4
BSU10590	yhjP	303
BSU10600	yhjQ	7
