BSU	GeneID	Abundance
BSU04900	yddA	1
BSU04910	yddB	1
BSU04920	yddC	0
BSU04930	yddD	0
BSU04940	yddE	1
BSU04950	yddF	0
BSU04960	yddG	5
BSU04970	yddH	1
BSU04980	yddI	0
BSU04990	yddJ	42
BSU05000	yddK	515
BSU05010	rapI	129
BSU05020	phrI	22
BSU05030	yddM	176
BSU05040	yddN	39
BSU05050	lrpA	34
BSU05060	lrpB	18
BSU05070	yddQ	42
BSU05080	yddR	59
BSU05090	yddS	31
BSU05099	ydzM	23
BSU05100	yddT	152
BSU05109	ydzN	21
BSU05110	ydeA	5
BSU05120	cspC	5531
BSU05130	ydeB	677
BSU05140	ydzE	8
BSU05150	ydeC	40
BSU05160	ydeD	57
BSU05170	ydeE	123
BSU05180	ydeF	165
BSU05190	ydeG	54
BSU05200	ydeH	30
BSU05210	ydeI	52
BSU05220	ydeJ	170
BSU05230	ydeK	207
BSU05240	ydeL	75
BSU05250	ydeM	124
BSU05260	ydeN	356
BSU05270	ydzF	169
BSU05280	ydeO	1053
BSU05290	ydeP	52
BSU05300	ydeQ	33
BSU05310	ydeR	29
BSU05320	ydeS	310
BSU05329	ydzO	51
BSU05330	aseR	12
BSU05340	ydfA	87
BSU05343	ydzS	0
BSU05344	ydzS	7
BSU05350	ydfB	44
BSU05360	ydfC	11
BSU05370	ydfD	64
BSU05380	ydfE	34
BSU05390	ydfF	151
BSU05400	ydfG	1021
BSU05408	ydzP	1
BSU05409	ydzQ	2
BSU05410	ydfH	91
BSU05420	ydfI	73
BSU05430	ydfJ	29
BSU05440	nap	858
BSU05450	ydfK	25
BSU05460	ydfL	60
BSU05470	ydfM	10
BSU05480	ydfN	6
BSU05490	ydfO	20
BSU05500	ydfP	33
BSU05510	ydfQ	2
BSU05520	ydzH	0
BSU05529	ydzR	1
BSU05530	ydfR	1
BSU05540	ydfS	15
BSU05550	cotP	0
BSU05560	ydgA	0
BSU05570	ydgB	0
BSU05580	ydgC	1430
BSU05590	ydgD	469
BSU05600	ydgE	894
BSU05610	vmlR	1042
BSU05620	ydgF	1919
BSU05630	dinB	443
BSU05640	ydgG	20
BSU05650	ydgH	982
BSU05660	ydgI	270
BSU05670	ydgJ	127
